"","fecha_inicial","fecha_final","año_inicial","mes_inicial","dia_inicial","año_final","mes_final","dia_final","pais","ciudad","categoria_principal","categoria","proyecto_featured","descripcion_largo","descripcion_full_largo","titulo_largo","cant_creaciones_dueño","cant_faqs","cant_imagenes","cant_videos","cant_tiers","tier_promedio","tier_max","tier_min","duracion","moneda","objetivo_monto","objetivo_ratio","monto_obtenido","monto_obtenido_porcentaje","estado","exito","cant_actualizaciones","cant_backers","cant_backers_tiers","cant_comentarios","backers_promedio_por_tier","aporte_promedio_por_backer","title","cotizacion","moneda_igual_pais","dia_semana_inicial","dia_semana_final","weekend_inicial","weekend_final","primera_quincena_inicial","primera_quincena_final","id"
"3917",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Omaha","Games","Tabletop Games","0",125,0,54,1,0,1,1,4,53.75,125,10,30,"USD",5000,166.666666666667,3249,0.6498,"Funding Unsuccessful","fail",6,45,39,18,9.75,72.2,"Reusable Static Cling RPG Terrains and Interior Decals",1,1,"martes","jueves",0,0,0,0,3934
"3918",2019-03-25,2019-04-24,2019,3,25,2019,4,24,"Denmark","Ebeltoft","Music","Electronic Music","0",124,2189,16,1,0,3,1,5,33.2,80,1,30,"USD",500,16.6666666666667,797,1.594,"Funding Successful","success",2,20,17,0,3.4,39.85,"Prince of Dreams",1,0,"lunes","miércoles",0,0,0,0,3935
"3919",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United Kingdom","Bristol","Publishing","Children's Books","1",115,7428,57,1,0,16,1,13,93.8926153846154,396.3,1.321,30,"GBP",2642,116.336066666667,9644.621,3.6505,"Funding Successful","success",6,192,186,3,11.62,38.03,"The Golden Cage: a deliciously dark European picture book",1.321,1,"martes","jueves",0,0,0,0,3936
"3920",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Canada","Barrie","Games","Tabletop Games","0",50,9,42,1,0,1,0,1,67,67,67,30,"USD",3000,100,269,0.0897,"Cancelled by Creator","fail",0,5,4,0,4,53.8,"80 Seals of the Goetia - Newly Illustrated",1,0,"martes","jueves",0,0,0,0,3937
"3921",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Canada","Ottawa","Comics","Comic Books","0",53,3218,9,1,0,7,1,7,16,50,1,30,"USD",5000,166.666666666667,772,0.1544,"Cancelled by Creator","fail",4,25,23,0,3.29,30.88,"Fallen #1",1,0,"martes","jueves",0,0,0,0,3938
"3922",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Teaneck","Art","Illustration","1",42,1881,16,1,0,11,0,2,40.5,48,33,30,"USD",220,7.33333333333333,2167,9.85,"Funding Successful","success",7,47,44,2,22,46.11,"Clown Town Tarot",1,1,"martes","jueves",0,0,0,0,3939
"3923",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","New York","Design","Product Design","0",134,1695,59,1,3,84,11,10,219.6,460,80,30,"USD",66600,2220,317890,4.7731,"Funding Successful","success",7,1934,1904,523,190.4,164.37,"Element Light: The world's smartest and most modular light.",1,1,"martes","jueves",0,0,0,0,3940
"3924",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Hong Kong","Hong Kong","Fashion","Apparel","0",90,6649,58,1,13,83,2,26,119.716598269231,371.895195,1.27405,30,"HKD",1274.05,5.41067800833333,48360.64471,37.9582,"Funding Successful","success",23,648,644,178,24.77,585.77,"The Regenerative Tee 2.0- UltraLight, Quick-Dry n Odorless",0.127405,1,"martes","jueves",0,0,0,0,3941
"3925",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Ecuador","Quito","Music","Electronic Music","0",135,2560,60,1,0,7,1,6,1351.18075,5637.75,11.2755,30,"EUR",1691.325,63.568450125,1703.72805,1.0073,"Funding Successful","success",2,37,24,3,4,40.84,"Creating an album made out of sounds from the Amazon Jungle.",1.12755,0,"martes","jueves",0,0,0,0,3942
"3926",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United Kingdom","Manchester","Fashion","Ready-to-wear","0",45,2691,59,1,0,1,0,8,70.34325,198.15,1.321,30,"GBP",2642,116.336066666667,593.129,0.2245,"Funding Unsuccessful","fail",1,17,6,0,0.67,26.41,"The CAM Collective- Empowering Women in More Ways Than One.",1.321,1,"martes","jueves",0,0,0,0,3943
